hand_num,stakes,date,table,max_players,button,players,start,preflop,flop
240970129057,$2.50/$5.00 USD,2023/01/07 3:37:04 ET,Ancha II,9,4,"
Seat 1: Zavorotny ($500 in chips)
Seat 2: ljryviltj ($639.22 in chips)
Seat 3: oledgyk ($654 in chips)
Seat 4: RAidakCo ($1111.37 in chips)
Seat 5: typ6oky3mu4 ($500 in chips)
Seat 6: AlexeSsz ($1126.51 in chips)
Seat 7: PokerStarJ2 ($837.61 in chips)
Seat 8: spzilla ($431.55 in chips)
Seat 9: pelyatww ($644.38 in chips)","
Seat 9: pelyatww ($644.38 in chips)","
typ6oky3mu4: posts small blind $2.50
AlexeSsz: posts big blind $5
Zavorotny: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240970639005,$2.50/$5.00 USD,2023/01/07 3:38:22 ET,Ancha II,9,6,"
Seat 1: Zavorotny ($500 in chips)
Seat 2: ljryviltj ($653.72 in chips)
Seat 3: oledgyk ($703.21 in chips)
Seat 4: RAidakCo ($1109.37 in chips)
Seat 5: typ6oky3mu4 ($500 in chips)
Seat 6: AlexeSsz ($1117.01 in chips)
Seat 7: PokerStarJ2 ($830.61 in chips)
Seat 8: spzilla ($391.84 in chips)
Seat 9: pelyatww ($642.38 in chips)","
Seat 9: pelyatww ($642.38 in chips)","
PokerStarJ2: posts small blind $2.50
spzilla: posts big blind $5
Zavorotny: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240970646990,$2.50/$5.00 USD,2023/01/07 3:39:25 ET,Ancha II,9,7,"
Seat 1: Zavorotny ($500 in chips)
Seat 2: ljryviltj ($622.88 in chips)
Seat 3: oledgyk ($702.21 in chips)
Seat 4: RAidakCo ($1108.37 in chips)
Seat 5: typ6oky3mu4 ($500 in chips)
Seat 6: AlexeSsz ($1116.01 in chips)
Seat 7: PokerStarJ2 ($827.11 in chips)
Seat 8: spzilla ($429.18 in chips)
Seat 9: pelyatww ($641.38 in chips)","
Seat 9: pelyatww ($641.38 in chips)","
spzilla: posts small blind $2.50
pelyatww: posts big blind $5
Zavorotny: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240970659652,$2.50/$5.00 USD,2023/01/07 3:41:03 ET,Ancha II,9,8,"
Seat 1: Zavorotny ($500 in chips)
Seat 2: ljryviltj ($621.88 in chips)
Seat 3: oledgyk ($701.21 in chips)
Seat 4: RAidakCo ($1107.37 in chips)
Seat 5: typ6oky3mu4 ($500 in chips)
Seat 6: AlexeSsz ($1234.29 in chips)
Seat 7: PokerStarJ2 ($826.11 in chips)
Seat 8: spzilla ($393.18 in chips)
Seat 9: pelyatww ($635.38 in chips)","
Seat 9: pelyatww ($635.38 in chips)","
pelyatww: posts small blind $2.50
Zavorotny: posts big blind $5
Zavorotny: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240970664229,$2.50/$5.00 USD,2023/01/07 3:41:39 ET,Ancha II,9,9,"
Seat 1: Zavorotny ($500 in chips)
Seat 2: ljryviltj ($659.68 in chips)
Seat 3: oledgyk ($700.21 in chips)
Seat 4: RAidakCo ($1093.87 in chips)
Seat 5: typ6oky3mu4 ($500 in chips)
Seat 6: AlexeSsz ($1233.29 in chips)
Seat 7: PokerStarJ2 ($825.11 in chips)
Seat 8: spzilla ($379.68 in chips)
Seat 9: pelyatww ($631.88 in chips)","
Seat 9: pelyatww ($631.88 in chips)","
Zavorotny: posts small blind $2.50
ljryviltj: posts big blind $5
Zavorotny: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240970668946,$2.50/$5.00 USD,2023/01/07 3:42:16 ET,Ancha II,9,1,"
Seat 1: Zavorotny ($500 in chips)
Seat 2: ljryviltj ($634.78 in chips)
Seat 3: oledgyk ($699.21 in chips)
Seat 4: RAidakCo ($1092.87 in chips)
Seat 5: typ6oky3mu4 ($500 in chips)
Seat 6: AlexeSsz ($1232.29 in chips)
Seat 7: PokerStarJ2 ($824.11 in chips)
Seat 8: spzilla ($378.68 in chips)
Seat 9: pelyatww ($663.32 in chips)","
Seat 9: pelyatww ($663.32 in chips)","
ljryviltj: posts small blind $2.50
oledgyk: posts big blind $5
Zavorotny: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240970673459,$2.50/$5.00 USD,2023/01/07 3:42:51 ET,Ancha II,9,2,"
Seat 1: Zavorotny ($532.68 in chips)
Seat 2: ljryviltj ($631.28 in chips)
Seat 3: oledgyk ($693.21 in chips)
Seat 4: RAidakCo ($1091.87 in chips)
Seat 5: typ6oky3mu4 ($500 in chips)
Seat 6: AlexeSsz ($1231.29 in chips)
Seat 7: PokerStarJ2 ($823.11 in chips)
Seat 8: spzilla ($357.68 in chips)
Seat 9: pelyatww ($662.32 in chips)","
Seat 9: pelyatww ($662.32 in chips)","
oledgyk: posts small blind $2.50
RAidakCo: posts big blind $5
Zavorotny: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240970687466,$2.50/$5.00 USD,2023/01/07 3:44:41 ET,Ancha II,9,4,"
Seat 1: Zavorotny ($515.68 in chips)
Seat 2: ljryviltj ($718.53 in chips)
Seat 3: oledgyk ($688.71 in chips)
Seat 4: RAidakCo ($1082.37 in chips)
Seat 5: typ6oky3mu4 ($500 in chips)
Seat 6: AlexeSsz ($1229.29 in chips)
Seat 7: PokerStarJ2 ($821.11 in chips)
Seat 8: spzilla ($311.43 in chips)
Seat 9: pelyatww ($660.32 in chips)","
Seat 9: pelyatww ($660.32 in chips)","
typ6oky3mu4: posts small blind $2.50
AlexeSsz: posts big blind $5
Zavorotny: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240970708538,$2.50/$5.00 USD,2023/01/07 3:47:20 ET,Ancha II,9,6,"
Seat 1: Zavorotny ($513.68 in chips)
Seat 2: ljryviltj ($716.53 in chips)
Seat 3: oledgyk ($686.71 in chips)
Seat 4: RAidakCo ($1080.37 in chips)
Seat 5: typ6oky3mu4 ($500 in chips)
Seat 6: AlexeSsz ($1339.98 in chips)
Seat 7: PokerStarJ2 ($814.11 in chips)
Seat 8: spzilla ($309.43 in chips)
Seat 9: pelyatww ($568.13 in chips)","
Seat 9: pelyatww ($568.13 in chips)","
PokerStarJ2: posts small blind $2.50
spzilla: posts big blind $5
Zavorotny: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240970724968,$2.50/$5.00 USD,2023/01/07 3:49:24 ET,Ancha II,9,7,"
Seat 1: Zavorotny ($500 in chips)
Seat 2: ljryviltj ($715.53 in chips)
Seat 3: oledgyk ($661.66 in chips)
Seat 4: RAidakCo ($1074.37 in chips)
Seat 5: typ6oky3mu4 ($500 in chips)
Seat 6: AlexeSsz ($1338.98 in chips)
Seat 7: PokerStarJ2 ($810.61 in chips)
Seat 8: spzilla ($659.41 in chips)
Seat 9: pelyatww ($567.13 in chips)","
Seat 9: pelyatww ($567.13 in chips)","
spzilla: posts small blind $2.50
pelyatww: posts big blind $5
Zavorotny: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
